id,requirement,frontend_path,backend_path,shared_path,ml_path,db_table,test_id,status
FR-14,Payment tracking — independent delivery confirmation; farmer payment confirmation feeding reputation,apps/web/src/deals,apps/api/src/modules/deals,packages/shared/src/dealstate;packages/shared/src/matching,,deliveries;payments;ratings,packages/shared/src/dealstate/dealstate.test.ts;apps/api/test/deals.db.test.ts;apps/web/e2e/deal-completion.spec.ts,done
FR-15,"Dispute / grievance — reason-coded dispute from delivery onward, with evidence, routed to the district officer",apps/web/src/deals,apps/api/src/modules/disputes,packages/shared/src/dealstate,,disputes;grievance_evidence,packages/shared/src/dealstate/dealstate.test.ts;apps/api/test/deals.db.test.ts;apps/web/e2e/dispute.spec.ts,done
RK-1,"Market persistence — lags {1,2,3,7,14,28}, EWMA spans {3,7,14}, momentum",apps/web/src/features/raksha,apps/api/src/modules/raksha,packages/shared/src/bundle,ml/features;ml/raksha,raksha_signals,ml/tests/test_raksha.py,building
RK-2,"Seasonal position — empirical week-of-year median and IQR per crop × district, leave-current-year-out",apps/web/src/features/raksha;apps/web/src/features/home,apps/api/src/modules/raksha,packages/shared/src/benchmark,ml/climatology;ml/raksha,raksha_signals,ml/tests/test_raksha.py,building
RK-3,"Arrival pressure — log(arrivals / WOY median arrivals), winsorised, lagged one day (same-day arrivals never a feature)",apps/web/src/features/raksha,apps/api/src/modules/raksha,packages/shared/src/bundle,ml/features;ml/raksha,raksha_signals;market_arrivals,ml/tests/test_raksha.py,building
RK-4,"Weather pressure — rain/humidity anomaly vs district climatology × per-crop sensitivity; weather consumed, never predicted",apps/web/src/features/raksha,apps/api/src/modules/raksha;apps/api/src/adapters/weather,packages/shared/src/bundle,ml/climatology;ml/features,raksha_signals;weather_observations,apps/api/test/contracts/market-weather.contract.test.ts;ml/tests/test_raksha.py;ml/tests/test_export.py,building
RK-5,"Market shock — robust z of log returns, rolling median/MAD, 60-day window",apps/web/src/features/raksha,apps/api/src/modules/raksha,packages/shared/src/bundle,ml/features;ml/raksha,raksha_signals,ml/tests/test_raksha.py,building
RK-6,"Quantile forecast — LightGBM pinball loss τ ∈ {0.1,0.5,0.9}, log-return target, split-conformal widening, bandKappa staleness widening",apps/web/src/features/raksha,apps/api/src/modules/forecast,packages/shared/src/staleness,ml/raksha;ml/evaluate;ml/export,forecast_bundles,packages/shared/src/staleness/staleness.test.ts;ml/tests/test_raksha.py;packages/shared/src/bundle/golden.test.ts;ml/tests/test_export.py,building
RK-7,"Risk asymmetry (device) — carry, expected gain G, downside D, tolerable loss L from this farmer's warehouse and e-NWR rate",apps/web/src/features/raksha,,packages/shared/src/decision,,,packages/shared/src/decision/decision.test.ts,building
RK-8,Evidence agreement — skill-weighted vote over UP/FLAT/DOWN with measured weights shipped in the bundle; unanimous calm is confident calm,apps/web/src/features/raksha,apps/api/src/modules/raksha,packages/shared/src/decision,ml/raksha,raksha_signals,ml/tests/test_raksha.py;ml/tests/test_parity.py;apps/web/src/briefing/evidence.test.ts;apps/web/e2e/briefing.spec.ts,building
RK-9,Decision guardrail (device) — seven-condition conjunction GR-1…GR-7,apps/web/src/features/raksha,,packages/shared/src/decision,,,packages/shared/src/decision/decision.test.ts;apps/web/src/briefing/evidence.test.ts;apps/web/e2e/briefing.spec.ts,building
GR-1,Price data fresh within the crop's staleness limit — refusal: Not enough current data to advise you.,apps/web/src/features/raksha,,packages/shared/src/decision;packages/shared/src/staleness,,,packages/shared/src/decision/decision.test.ts;packages/shared/src/staleness/staleness.test.ts,building
GR-2,Model has beaten its naive baseline for this crop — refusal: The forecast does not beat the normal seasonal baseline.,apps/web/src/features/raksha,,packages/shared/src/decision,ml/evaluate,,packages/shared/src/decision/decision.test.ts;ml/tests/test_raksha.py,building
GR-3,Forecast confidence clears the higher of the two thresholds — refusal: The evidence is not strong enough to suggest waiting.,apps/web/src/features/raksha,,packages/shared/src/decision,,,packages/shared/src/decision/decision.test.ts,building
GR-4,Evidence agreement across layers is sufficient — refusal: The signals do not agree strongly enough.,apps/web/src/features/raksha,,packages/shared/src/decision,ml/raksha,,packages/shared/src/decision/decision.test.ts,building
GR-5,Seasonal position does not strongly contradict the signal — refusal: The season points the other way.,apps/web/src/features/raksha,,packages/shared/src/decision,,,packages/shared/src/decision/decision.test.ts,building
GR-6,"Expected gain net of storage, spoilage and financing clears its cost — refusal: Expected upside does not cover storage and spoilage costs.",apps/web/src/features/raksha,,packages/shared/src/decision,,,packages/shared/src/decision/decision.test.ts,building
GR-7,"A real, named storage mechanism is within reach of this farmer — refusal: Waiting may not be practical for this lot.",apps/web/src/features/raksha;apps/web/src/features/logistics,apps/api/src/modules/storage,packages/shared/src/decision,,storage_facilities,packages/shared/src/decision/decision.test.ts,building
CAM-01,No camera hardware — file-input fallback with identical downstream pipeline,apps/web/src/camera;apps/web/src/sell/PhotoPanel.tsx,,packages/shared/src/vision,,,apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-02,"Permission denied — explain why, offer file fallback, never re-prompt in a loop",apps/web/src/camera;apps/web/src/sell/PhotoPanel.tsx,,,,,apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-03,"Permission dismissed (not denied) — distinct copy, single retry affordance",apps/web/src/camera;apps/web/src/sell/PhotoPanel.tsx,,,,,apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-04,"Camera busy / in use by another app — named error, retry",apps/web/src/camera;apps/web/src/sell/PhotoPanel.tsx,,,,,apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-05,getUserMedia constraint failure — fallback ladder environment+1920 → environment → video:true → file,apps/web/src/camera/media.ts,,,,,apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-06,"iOS Safari — playsinline + muted + autoplay, HTTPS, user gesture; re-acquire stream on visibilitychange",apps/web/src/camera/CameraSheet.tsx;apps/web/src/state/route.ts,,,,,apps/web/e2e/gate-c.spec.ts,done
CAM-07,"HEIC/HEIF via file fallback — detect by magic bytes, convert client-side or reject clearly",apps/web/src/camera/file.ts,apps/api/src/modules/photos/harden.ts,packages/shared/src/vision/sniff.ts,,,packages/shared/src/vision/vision.test.ts;apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-08,"Low memory / canvas allocation failure — drop to 1 frame, then to photo-only",apps/web/src/camera/capture.ts;apps/web/src/camera/vision.worker.ts,,packages/shared/src/vision/aggregate.ts,,,packages/shared/src/vision/vision.test.ts;apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-09,"Model load failure (network, corrupt cache, no WASM SIMD) — photo capture fully works, grading absent with one honest line",apps/web/src/camera/runtime.ts,,,ml/vision,,packages/shared/src/vision/vision.test.ts;apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-10,All frames fail the gates — no grade; keep the best frame; say what was wrong,apps/web/src/camera;apps/web/src/sell/PhotoPanel.tsx,,packages/shared/src/vision/aggregate.ts,,,packages/shared/src/vision/vision.test.ts;apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-11,OOD reject — distinct path from low confidence; different copy; no band,apps/web/src/camera;apps/web/src/sell/PhotoPanel.tsx,,packages/shared/src/vision/distribution.ts;packages/shared/src/vision/aggregate.ts,ml/vision/scenes.py,,packages/shared/src/vision/vision.test.ts;apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-12,Offline at capture — photo queued as a Blob in the IndexedDB outbox; listing creation never blocks on upload,apps/web/src/offline/photos.ts;apps/web/src/state/useDevice.ts,apps/api/src/modules/photos,packages/shared/src/dealstate/outbox.ts,,photo_uploads,apps/api/test/photos.db.test.ts;apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-13,"Upload failure / slow network — resumable, exponential backoff, per-item state, idempotency key prevents duplicates",apps/web/src/offline/photos.ts;apps/web/src/sell/ListingsScreen.tsx,apps/api/src/modules/photos/service.ts,packages/shared/src/dealstate/outbox.ts,,photo_uploads;listing_photos,apps/api/test/photos.db.test.ts;apps/web/src/camera/camera.test.ts;apps/web/e2e/gate-c.spec.ts,done
CAM-14,"Orientation and EXIF — apply orientation, then strip all EXIF including GPS by redrawing to canvas before upload",apps/web/src/camera/vision.worker.ts;apps/web/src/camera/file.ts,apps/api/src/modules/photos/harden.ts,,,listing_photos,apps/api/test/photos.test.ts;apps/api/test/photos.db.test.ts;apps/web/e2e/gate-c.spec.ts,done
SEC-01,Cross-tenant read of another farmer's contact row fails,,apps/api/src/security;infra/migrations,,,farmer_contacts;contact_grants,apps/api/test/security/sec.db.test.ts,done
SEC-02,Cross-tenant write to another farmer's listing fails,,apps/api/src/security;infra/migrations,,,listings,apps/api/test/security/sec.db.test.ts,done
SEC-03,Forged farmer_id at the DB layer with the API bypassed fails,,apps/api/src/db/actor.ts;infra/migrations/0002_identity.sql,,,farmer_profiles;farmer_contacts;listings,apps/api/test/security/sec.db.test.ts,done
SEC-04,Forged buyer_id at the DB layer fails,,infra/migrations,,,buyer_profiles;buyer_requirements;offers,apps/api/test/security/sec.db.test.ts,done
SEC-05,Unverified buyer attempting an offer fails,,infra/migrations/0003_marketplace.sql,,,offers;buyer_verifications,apps/api/test/security/sec.db.test.ts,done
SEC-06,Contact grant without farmer acknowledgement fails,,infra/migrations/0003_marketplace.sql,,,contact_grants,apps/api/test/security/sec.db.test.ts,done
SEC-07,Contact grant beyond the per-buyer daily rate limit fails,,infra/migrations/0003_marketplace.sql,,,contact_grants,apps/api/test/security/sec.db.test.ts,done
SEC-08,Buyer approving its own offer fails,,infra/migrations/0003_marketplace.sql,packages/shared/src/dealstate,,offers;deals,apps/api/test/security/sec.db.test.ts,done
SEC-09,Offline-constructed deal transition submitted through the outbox fails,apps/web/src/offline,apps/api/src/modules/outbox/schema.ts,packages/shared/src/dealstate,,deals,apps/api/test/security/sec-app.test.ts;apps/api/test/outbox.db.test.ts,done
SEC-10,Rating a deal that never completed fails,,infra/migrations/0003_marketplace.sql,packages/shared/src/dealstate,,ratings;deals,apps/api/test/security/sec.db.test.ts,done
SEC-11,Dispute raised before DELIVERY_CONFIRMED fails,,infra/migrations/0003_marketplace.sql,packages/shared/src/dealstate,,disputes;deals,apps/api/test/security/sec.db.test.ts,done
SEC-12,Direct edit of a counterparty's reputation fails,,infra/migrations/0003_marketplace.sql,,,ratings,apps/api/test/security/sec.db.test.ts,done
SEC-13,IDOR on a photo's signed URL after expiry fails,,apps/api/src/security/signed-url.ts,,,listing_photos,apps/api/test/security/sec-app.test.ts,done
SEC-14,Bundle tampering — modified bundle rejected by the integrity check,apps/web/src/offline,apps/api/src/modules/bundles,packages/shared/src/bundle/integrity.ts,ml/export,forecast_bundles,packages/shared/src/bundle/integrity.test.ts;apps/api/test/security/sec-app.test.ts;packages/shared/src/bundle/parse.test.ts;packages/shared/src/bundle/golden.test.ts;apps/api/test/bundles.test.ts;apps/api/test/bundles.db.test.ts;ml/tests/test_export.py;apps/web/src/offline/offline.test.ts,done
P1-01,"Delete the .match-score percentage and its Math.max(55,…) floor; rank by risk-adjusted net realisation with explained reasons; an empty shortlist is valid",apps/web/src/match;apps/web/src/ui/Home.tsx,apps/api/src/modules/demand,packages/shared/src/matching/rank.ts,,,packages/shared/src/matching/matching.test.ts;apps/api/test/demand.db.test.ts;apps/web/src/match/match.test.ts;apps/web/e2e/gate-f.spec.ts,done
P1-02,"Stop silently converting quintal→kg at parse time; carry {value, unit} end to end and echo the farmer's own unit",apps/web/src/features/sell,apps/api/src/modules/listings,packages/shared/src/units;packages/shared/src/parser,,listings,packages/shared/src/units/units.test.ts;packages/shared/src/parser/parse.test.ts;apps/web/src/sell/draft.test.ts;apps/api/test/listings.db.test.ts;apps/web/e2e/sell.spec.ts,done
P1-03,"Price is never a bare number displayed as /qtl; Money = {amount, unit}; an ambiguous price triggers the single-tap unit question",apps/web/src/features/sell,apps/api/src/modules/listings,packages/shared/src/units;packages/shared/src/parser,,listings,packages/shared/src/units/units.test.ts;packages/shared/src/parser/parse.test.ts;apps/web/src/sell/draft.test.ts;apps/api/test/listings.db.test.ts;apps/web/e2e/sell.spec.ts,done
P1-04,"No arbitrary fallback location (parseCropMessage fallbackLocation, CITIES[]); district comes from the verified registry record",apps/web/src/features/sell,apps/api/src/modules/farmers,packages/shared/src/parser,,farmer_profiles,packages/shared/src/parser/parse.test.ts;apps/api/test/security/sec.db.test.ts;apps/web/src/sell/draft.test.ts;apps/api/test/listings.db.test.ts;apps/web/e2e/sell.spec.ts,done
P1-05,Crop is a hard filter with one auditable substitution table — no +5 mismatch or +25 substring partial credit,apps/web/src/match;apps/web/src/ui/Home.tsx,,packages/shared/src/matching/rank.ts,,,packages/shared/src/matching/matching.test.ts;apps/api/test/demand.db.test.ts;apps/web/e2e/gate-f.spec.ts,done
P1-06,"Price scored against the district benchmark, never against the farmer's own ask (buy.price / sell.price)",apps/web/src/match;apps/web/src/ui/Home.tsx,,packages/shared/src/matching/rank.ts,,,packages/shared/src/matching/matching.test.ts;apps/web/e2e/gate-f.spec.ts,done
P1-07,"Remove all security signalling from the farmer UI (Runs locally, shield, Demo build, Verified chips)",apps/web/src,,,,,apps/web/src/design/interface.test.ts,done
P1-08,Contact and phone move out of buyer/listing rows into separate contact tables; disclosure only after offer + farmer acknowledgement; audited; rate-limited,apps/web/src/features/deals,apps/api/src/modules/messaging;infra/migrations,,,farmer_contacts;contact_grants;audit_log,apps/api/test/security/sec.db.test.ts,building
P1-09,"Invert verification: buyer gated by GSTIN/Udyam before offering or receiving contacts; farmer check establishes identity and district, not a barrier",apps/web/src/features/auth,apps/api/src/modules/verify;apps/api/src/modules/auth;apps/api/src/adapters/registry,,,buyer_verifications;farmer_verifications,apps/api/test/auth.db.test.ts;apps/api/test/contracts/registry-messaging.contract.test.ts,building
P1-10,Remove the browser Groq API key input and its localStorage copy; model fallback is server-side behind ModelFallbackAdapter,apps/web/src,apps/api/src/adapters/model-fallback,,,,apps/api/test/contracts/speech-fallback.contract.test.ts,building
P1-11,"Replace localStorage-as-database and innerHTML string rendering with Dexie/IndexedDB + outbox, PostgreSQL + RLS and React components",apps/web/src/offline,apps/api/src/db;infra/migrations,,,,apps/api/test/foundation.db.test.ts;apps/web/src/offline/offline.test.ts;apps/web/e2e/gate-a.spec.ts,building
P1-12,"Replace the render-blocking Google Fonts @import with self-hosted, subset, preloaded fonts using font-display: swap",apps/web/design,,,,,apps/web/src/design/interface.test.ts;apps/web/e2e/budget.spec.ts,done
ARCH-01,"@fasal/shared is pure — zero runtime dependencies, no I/O, no clock or randomness, no framework imports (Constitution §3, PROMPT §VI)",,,packages/shared/src,,,packages/shared/src/purity.test.ts,done
ARCH-02,"Logs never carry personal data — a seeded phone number and registry, GSTIN, Udyam and email identifiers are redacted from the log stream (PROMPT §8.5)",,apps/api/src/log,,,,apps/api/test/logger.test.ts;apps/api/test/auth.db.test.ts,done
ARCH-03,"The API connects as a NOSUPERUSER, NOBYPASSRLS, non-owner role and refuses to start otherwise; request context is set per transaction with SET LOCAL semantics and never leaks through the pool (PROMPT §8.1)",,apps/api/src/db;infra/migrations,,,,apps/api/test/foundation.db.test.ts;apps/api/test/security/sec.db.test.ts,done
ARCH-04,Configuration is parsed with zod at boot; no secret has a default; only .env.example is committed (PROMPT §8.5),,apps/api/src/config.ts,,,,apps/api/test/config.test.ts,done
ARCH-05,"Migrations are ordered, checksummed, idempotent and immutable once applied (PROMPT §3.2)",,apps/api/src/db/migrate.ts;infra/migrations,,,,apps/api/test/foundation.db.test.ts,done
ARCH-06,"Every external dependency sits behind an adapter with Mock and Live implementations passing one contract suite; switching is .env, never code; a live adapter without credentials stops the server (PROMPT §3.4, Constitution §15)",,apps/api/src/adapters,,,,apps/api/test/contracts/factory.test.ts;apps/api/test/contracts/market-weather.contract.test.ts;apps/api/test/contracts/registry-messaging.contract.test.ts;apps/api/test/contracts/speech-fallback.contract.test.ts;apps/api/test/contracts/logistics.contract.test.ts,done
